Abbreviation,TeamName,GridPosition,Position,Points,Season,RoundNumber,EventName,Podium,Rainfall,AirTemp
ALB,Williams,18.0,11.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
GAS,AlphaTauri,17.0,12.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
HAM,Mercedes,14.0,13.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
OCO,Alpine,16.0,14.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
ZHO,Alfa Romeo,0.0,15.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
LAT,Williams,19.0,16.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
MSC,Haas F1 Team,10.0,17.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
RIC,McLaren,6.0,18.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
ALO,Alpine,9.0,19.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
SAI,Ferrari,4.0,20.0,0.0,2022,4,Emilia Romagna Grand Prix,0,False,13.1
VER,Red Bull Racing,3.0,1.0,26.0,2022,5,Miami Grand Prix,1,True,30.2
LEC,Ferrari,1.0,2.0,18.0,2022,5,Miami Grand Prix,1,True,30.2
SAI,Ferrari,2.0,3.0,15.0,2022,5,Miami Grand Prix,1,True,30.2
PER,Red Bull Racing,4.0,4.0,12.0,2022,5,Miami Grand Prix,0,True,30.2
RUS,Mercedes,12.0,5.0,10.0,2022,5,Miami Grand Prix,0,True,30.2
HAM,Mercedes,6.0,6.0,8.0,2022,5,Miami Grand Prix,0,True,30.2
BOT,Alfa Romeo,5.0,7.0,6.0,2022,5,Miami Grand Prix,0,True,30.2
OCO,Alpine,20.0,8.0,4.0,2022,5,Miami Grand Prix,0,True,30.2
ALB,Williams,18.0,9.0,2.0,2022,5,Miami Grand Prix,0,True,30.2
STR,Aston Martin,0.0,10.0,1.0,2022,5,Miami Grand Prix,0,True,30.2
ALO,Alpine,11.0,11.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
TSU,AlphaTauri,9.0,12.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
RIC,McLaren,14.0,13.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
LAT,Williams,19.0,14.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
MSC,Haas F1 Team,15.0,15.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
MAG,Haas F1 Team,16.0,16.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
VET,Aston Martin,0.0,17.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
GAS,AlphaTauri,7.0,18.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
NOR,McLaren,8.0,19.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
ZHO,Alfa Romeo,17.0,20.0,0.0,2022,5,Miami Grand Prix,0,True,30.2
VER,Red Bull Racing,2.0,1.0,25.0,2022,6,Spanish Grand Prix,1,False,36.6
PER,Red Bull Racing,5.0,2.0,19.0,2022,6,Spanish Grand Prix,1,False,36.6
RUS,Mercedes,4.0,3.0,15.0,2022,6,Spanish Grand Prix,1,False,36.6
SAI,Ferrari,3.0,4.0,12.0,2022,6,Spanish Grand Prix,0,False,36.6
HAM,Mercedes,6.0,5.0,10.0,2022,6,Spanish Grand Prix,0,False,36.6
BOT,Alfa Romeo,7.0,6.0,8.0,2022,6,Spanish Grand Prix,0,False,36.6
OCO,Alpine,12.0,7.0,6.0,2022,6,Spanish Grand Prix,0,False,36.6
NOR,McLaren,11.0,8.0,4.0,2022,6,Spanish Grand Prix,0,False,36.6
ALO,Alpine,20.0,9.0,2.0,2022,6,Spanish Grand Prix,0,False,36.6
TSU,AlphaTauri,13.0,10.0,1.0,2022,6,Spanish Grand Prix,0,False,36.6
VET,Aston Martin,16.0,11.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
RIC,McLaren,9.0,12.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
GAS,AlphaTauri,14.0,13.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
MSC,Haas F1 Team,10.0,14.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
STR,Aston Martin,17.0,15.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
LAT,Williams,19.0,16.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
MAG,Haas F1 Team,8.0,17.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
ALB,Williams,18.0,18.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
ZHO,Alfa Romeo,15.0,19.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
LEC,Ferrari,1.0,20.0,0.0,2022,6,Spanish Grand Prix,0,False,36.6
PER,Red Bull Racing,3.0,1.0,25.0,2022,7,Monaco Grand Prix,1,True,22.2
SAI,Ferrari,2.0,2.0,18.0,2022,7,Monaco Grand Prix,1,True,22.2
VER,Red Bull Racing,4.0,3.0,15.0,2022,7,Monaco Grand Prix,1,True,22.2
LEC,Ferrari,1.0,4.0,12.0,2022,7,Monaco Grand Prix,0,True,22.2
RUS,Mercedes,6.0,5.0,10.0,2022,7,Monaco Grand Prix,0,True,22.2
NOR,McLaren,5.0,6.0,9.0,2022,7,Monaco Grand Prix,0,True,22.2
ALO,Alpine,7.0,7.0,6.0,2022,7,Monaco Grand Prix,0,True,22.2
HAM,Mercedes,8.0,8.0,4.0,2022,7,Monaco Grand Prix,0,True,22.2
BOT,Alfa Romeo,12.0,9.0,2.0,2022,7,Monaco Grand Prix,0,True,22.2
VET,Aston Martin,9.0,10.0,1.0,2022,7,Monaco Grand Prix,0,True,22.2
GAS,AlphaTauri,17.0,11.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
OCO,Alpine,10.0,12.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
RIC,McLaren,14.0,13.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
STR,Aston Martin,18.0,14.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
LAT,Williams,19.0,15.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
ZHO,Alfa Romeo,20.0,16.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
TSU,AlphaTauri,11.0,17.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
ALB,Williams,16.0,18.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
MSC,Haas F1 Team,15.0,19.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
MAG,Haas F1 Team,13.0,20.0,0.0,2022,7,Monaco Grand Prix,0,True,22.2
VER,Red Bull Racing,3.0,1.0,25.0,2022,8,Azerbaijan Grand Prix,1,False,25.5
PER,Red Bull Racing,2.0,2.0,19.0,2022,8,Azerbaijan Grand Prix,1,False,25.5
RUS,Mercedes,5.0,3.0,15.0,2022,8,Azerbaijan Grand Prix,1,False,25.5
HAM,Mercedes,7.0,4.0,12.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
GAS,AlphaTauri,6.0,5.0,10.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
VET,Aston Martin,9.0,6.0,8.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
ALO,Alpine,10.0,7.0,6.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
RIC,McLaren,12.0,8.0,4.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
NOR,McLaren,11.0,9.0,2.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
OCO,Alpine,13.0,10.0,1.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
BOT,Alfa Romeo,15.0,11.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
ALB,Williams,17.0,12.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
TSU,AlphaTauri,8.0,13.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
MSC,Haas F1 Team,20.0,14.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
LAT,Williams,18.0,15.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
STR,Aston Martin,19.0,16.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
MAG,Haas F1 Team,16.0,17.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
ZHO,Alfa Romeo,14.0,18.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
LEC,Ferrari,1.0,19.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
SAI,Ferrari,4.0,20.0,0.0,2022,8,Azerbaijan Grand Prix,0,False,25.5
VER,Red Bull Racing,1.0,1.0,25.0,2022,9,Canadian Grand Prix,1,False,21.0
SAI,Ferrari,3.0,2.0,19.0,2022,9,Canadian Grand Prix,1,False,21.0
HAM,Mercedes,4.0,3.0,15.0,2022,9,Canadian Grand Prix,1,False,21.0
RUS,Mercedes,8.0,4.0,12.0,2022,9,Canadian Grand Prix,0,False,21.0
LEC,Ferrari,19.0,5.0,10.0,2022,9,Canadian Grand Prix,0,False,21.0
OCO,Alpine,7.0,6.0,8.0,2022,9,Canadian Grand Prix,0,False,21.0
BOT,Alfa Romeo,11.0,7.0,6.0,2022,9,Canadian Grand Prix,0,False,21.0
ZHO,Alfa Romeo,10.0,8.0,4.0,2022,9,Canadian Grand Prix,0,False,21.0
ALO,Alpine,2.0,9.0,2.0,2022,9,Canadian Grand Prix,0,False,21.0
STR,Aston Martin,17.0,10.0,1.0,2022,9,Canadian Grand Prix,0,False,21.0
RIC,McLaren,9.0,11.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
VET,Aston Martin,16.0,12.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
ALB,Williams,12.0,13.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
GAS,AlphaTauri,15.0,14.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
NOR,McLaren,14.0,15.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
LAT,Williams,18.0,16.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
MAG,Haas F1 Team,5.0,17.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
TSU,AlphaTauri,20.0,18.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
MSC,Haas F1 Team,6.0,19.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
PER,Red Bull Racing,13.0,20.0,0.0,2022,9,Canadian Grand Prix,0,False,21.0
SAI,Ferrari,1.0,1.0,25.0,2022,10,British Grand Prix,1,True,18.3
PER,Red Bull Racing,4.0,2.0,18.0,2022,10,British Grand Prix,1,True,18.3
HAM,Mercedes,5.0,3.0,16.0,2022,10,British Grand Prix,1,True,18.3
LEC,Ferrari,3.0,4.0,12.0,2022,10,British Grand Prix,0,True,18.3
ALO,Alpine,7.0,5.0,10.0,2022,10,British Grand Prix,0,True,18.3
NOR,McLaren,6.0,6.0,8.0,2022,10,British Grand Prix,0,True,18.3
VER,Red Bull Racing,2.0,7.0,6.0,2022,10,British Grand Prix,0,True,18.3
MSC,Haas F1 Team,19.0,8.0,4.0,2022,10,British Grand Prix,0,True,18.3
VET,Aston Martin,18.0,9.0,2.0,2022,10,British Grand Prix,0,True,18.3
MAG,Haas F1 Team,17.0,10.0,1.0,2022,10,British Grand Prix,0,True,18.3
STR,Aston Martin,20.0,11.0,0.0,2022,10,British Grand Prix,0,True,18.3
LAT,Williams,10.0,12.0,0.0,2022,10,British Grand Prix,0,True,18.3
RIC,McLaren,14.0,13.0,0.0,2022,10,British Grand Prix,0,True,18.3
TSU,AlphaTauri,13.0,14.0,0.0,2022,10,British Grand Prix,0,True,18.3
OCO,Alpine,15.0,15.0,0.0,2022,10,British Grand Prix,0,True,18.3
GAS,AlphaTauri,11.0,16.0,0.0,2022,10,British Grand Prix,0,True,18.3
BOT,Alfa Romeo,12.0,17.0,0.0,2022,10,British Grand Prix,0,True,18.3
RUS,Mercedes,8.0,18.0,0.0,2022,10,British Grand Prix,0,True,18.3
ZHO,Alfa Romeo,9.0,19.0,0.0,2022,10,British Grand Prix,0,True,18.3
ALB,Williams,16.0,20.0,0.0,2022,10,British Grand Prix,0,True,18.3
LEC,Ferrari,2.0,1.0,25.0,2022,11,Austrian Grand Prix,1,False,20.3
VER,Red Bull Racing,1.0,2.0,19.0,2022,11,Austrian Grand Prix,1,False,20.3
HAM,Mercedes,8.0,3.0,15.0,2022,11,Austrian Grand Prix,1,False,20.3
RUS,Mercedes,4.0,4.0,12.0,2022,11,Austrian Grand Prix,0,False,20.3
OCO,Alpine,6.0,5.0,10.0,2022,11,Austrian Grand Prix,0,False,20.3
MSC,Haas F1 Team,9.0,6.0,8.0,2022,11,Austrian Grand Prix,0,False,20.3
NOR,McLaren,10.0,7.0,6.0,2022,11,Austrian Grand Prix,0,False,20.3
MAG,Haas F1 Team,7.0,8.0,4.0,2022,11,Austrian Grand Prix,0,False,20.3
RIC,McLaren,11.0,9.0,2.0,2022,11,Austrian Grand Prix,0,False,20.3
ALO,Alpine,19.0,10.0,1.0,2022,11,Austrian Grand Prix,0,False,20.3
BOT,Alfa Romeo,0.0,11.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
ALB,Williams,15.0,12.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
STR,Aston Martin,12.0,13.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
ZHO,Alfa Romeo,13.0,14.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
GAS,AlphaTauri,14.0,15.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
TSU,AlphaTauri,16.0,16.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
VET,Aston Martin,18.0,17.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
SAI,Ferrari,3.0,18.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
LAT,Williams,17.0,19.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
PER,Red Bull Racing,5.0,20.0,0.0,2022,11,Austrian Grand Prix,0,False,20.3
VER,Red Bull Racing,2.0,1.0,25.0,2022,12,French Grand Prix,1,False,30.2
HAM,Mercedes,4.0,2.0,18.0,2022,12,French Grand Prix,1,False,30.2
RUS,Mercedes,6.0,3.0,15.0,2022,12,French Grand Prix,1,False,30.2
PER,Red Bull Racing,3.0,4.0,12.0,2022,12,French Grand Prix,0,False,30.2
SAI,Ferrari,19.0,5.0,11.0,2022,12,French Grand Prix,0,False,30.2
ALO,Alpine,7.0,6.0,8.0,2022,12,French Grand Prix,0,False,30.2
NOR,McLaren,5.0,7.0,6.0,2022,12,French Grand Prix,0,False,30.2
OCO,Alpine,10.0,8.0,4.0,2022,12,French Grand Prix,0,False,30.2
RIC,McLaren,9.0,9.0,2.0,2022,12,French Grand Prix,0,False,30.2
STR,Aston Martin,15.0,10.0,1.0,2022,12,French Grand Prix,0,False,30.2
VET,Aston Martin,12.0,11.0,0.0,2022,12,French Grand Prix,0,False,30.2
GAS,AlphaTauri,14.0,12.0,0.0,2022,12,French Grand Prix,0,False,30.2
ALB,Williams,13.0,13.0,0.0,2022,12,French Grand Prix,0,False,30.2
BOT,Alfa Romeo,11.0,14.0,0.0,2022,12,French Grand Prix,0,False,30.2
MSC,Haas F1 Team,17.0,15.0,0.0,2022,12,French Grand Prix,0,False,30.2
ZHO,Alfa Romeo,16.0,16.0,0.0,2022,12,French Grand Prix,0,False,30.2
LAT,Williams,18.0,17.0,0.0,2022,12,French Grand Prix,0,False,30.2
MAG,Haas F1 Team,20.0,18.0,0.0,2022,12,French Grand Prix,0,False,30.2
LEC,Ferrari,1.0,19.0,0.0,2022,12,French Grand Prix,0,False,30.2
TSU,AlphaTauri,8.0,20.0,0.0,2022,12,French Grand Prix,0,False,30.2
VER,Red Bull Racing,10.0,1.0,25.0,2022,13,Hungarian Grand Prix,1,True,18.5
HAM,Mercedes,7.0,2.0,19.0,2022,13,Hungarian Grand Prix,1,True,18.5
RUS,Mercedes,1.0,3.0,15.0,2022,13,Hungarian Grand Prix,1,True,18.5
SAI,Ferrari,2.0,4.0,12.0,2022,13,Hungarian Grand Prix,0,True,18.5
PER,Red Bull Racing,11.0,5.0,10.0,2022,13,Hungarian Grand Prix,0,True,18.5
LEC,Ferrari,3.0,6.0,8.0,2022,13,Hungarian Grand Prix,0,True,18.5
NOR,McLaren,4.0,7.0,6.0,2022,13,Hungarian Grand Prix,0,True,18.5
ALO,Alpine,6.0,8.0,4.0,2022,13,Hungarian Grand Prix,0,True,18.5
OCO,Alpine,5.0,9.0,2.0,2022,13,Hungarian Grand Prix,0,True,18.5
VET,Aston Martin,18.0,10.0,1.0,2022,13,Hungarian Grand Prix,0,True,18.5
STR,Aston Martin,14.0,11.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
GAS,AlphaTauri,0.0,12.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
ZHO,Alfa Romeo,12.0,13.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
MSC,Haas F1 Team,15.0,14.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
RIC,McLaren,9.0,15.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
MAG,Haas F1 Team,13.0,16.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
ALB,Williams,17.0,17.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
LAT,Williams,19.0,18.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
TSU,AlphaTauri,16.0,19.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
BOT,Alfa Romeo,8.0,20.0,0.0,2022,13,Hungarian Grand Prix,0,True,18.5
VER,Red Bull Racing,14.0,1.0,26.0,2022,14,Belgian Grand Prix,1,False,21.9
PER,Red Bull Racing,2.0,2.0,18.0,2022,14,Belgian Grand Prix,1,False,21.9
SAI,Ferrari,1.0,3.0,15.0,2022,14,Belgian Grand Prix,1,False,21.9
RUS,Mercedes,5.0,4.0,12.0,2022,14,Belgian Grand Prix,0,False,21.9
ALO,Alpine,3.0,5.0,10.0,2022,14,Belgian Grand Prix,0,False,21.9
LEC,Ferrari,15.0,6.0,8.0,2022,14,Belgian Grand Prix,0,False,21.9
OCO,Alpine,16.0,7.0,6.0,2022,14,Belgian Grand Prix,0,False,21.9
VET,Aston Martin,10.0,8.0,4.0,2022,14,Belgian Grand Prix,0,False,21.9
GAS,AlphaTauri,0.0,9.0,2.0,2022,14,Belgian Grand Prix,0,False,21.9
ALB,Williams,6.0,10.0,1.0,2022,14,Belgian Grand Prix,0,False,21.9
STR,Aston Martin,9.0,11.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
NOR,McLaren,17.0,12.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
TSU,AlphaTauri,0.0,13.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
ZHO,Alfa Romeo,18.0,14.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
RIC,McLaren,7.0,15.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
MAG,Haas F1 Team,12.0,16.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
MSC,Haas F1 Team,19.0,17.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
LAT,Williams,11.0,18.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
BOT,Alfa Romeo,13.0,19.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
HAM,Mercedes,4.0,20.0,0.0,2022,14,Belgian Grand Prix,0,False,21.9
VER,Red Bull Racing,1.0,1.0,26.0,2022,15,Dutch Grand Prix,1,False,22.7
RUS,Mercedes,6.0,2.0,18.0,2022,15,Dutch Grand Prix,1,False,22.7
LEC,Ferrari,2.0,3.0,15.0,2022,15,Dutch Grand Prix,1,False,22.7
HAM,Mercedes,4.0,4.0,12.0,2022,15,Dutch Grand Prix,0,False,22.7
PER,Red Bull Racing,5.0,5.0,10.0,2022,15,Dutch Grand Prix,0,False,22.7
ALO,Alpine,13.0,6.0,8.0,2022,15,Dutch Grand Prix,0,False,22.7
NOR,McLaren,7.0,7.0,6.0,2022,15,Dutch Grand Prix,0,False,22.7
SAI,Ferrari,3.0,8.0,4.0,2022,15,Dutch Grand Prix,0,False,22.7
OCO,Alpine,12.0,9.0,2.0,2022,15,Dutch Grand Prix,0,False,22.7
STR,Aston Martin,10.0,10.0,1.0,2022,15,Dutch Grand Prix,0,False,22.7
GAS,AlphaTauri,11.0,11.0,0.0,2022,15,Dutch Grand Prix,0,False,22.7
ALB,Williams,15.0,12.0,0.0,2022,15,Dutch Grand Prix,0,False,22.7
MSC,Haas F1 Team,8.0,13.0,0.0,2022,15,Dutch Grand Prix,0,False,22.7
VET,Aston Martin,19.0,14.0,0.0,2022,15,Dutch Grand Prix,0,False,22.7
MAG,Haas F1 Team,18.0,15.0,0.0,2022,15,Dutch Grand Prix,0,False,22.7
